Organization Name,Organization Name URL,Industries,Headquarters Location,CB Rank (Organization),Founded Date,Funding Status,Last Funding Date,Last Funding $,Last Funding Type,Total Funding $,Founders
415,https://www.crunchbase.com/organization/415,"E-Commerce, Mobile, Venture Capital","San Francisco, California, United States","157,286",2014-01-01,,,,,,"Grace Stanat, Owen Van Natta"
@techvitamin,https://www.crunchbase.com/organization/techvitamin,"Communities, Information Technology, Internet",,"1,377,070",,,,,,,John Pollard
10wickets,https://www.crunchbase.com/organization/10wickets,"Hardware, Information Technology, Internet, Retail","Bengaluru, Karnataka, India","201,359",2010-01-01,,,,,,Ashesh Nishant
2020 Fund,https://www.crunchbase.com/organization/2020-fund,"Finance, FinTech","Kolkata, West Bengal, India","143,621",2019-09-01,,2020-06-01,1500000,Undisclosed,1500000,Steph Mui
2nd Watch,https://www.crunchbase.com/organization/2nd-watch,"Cloud Infrastructure, Enterprise Software, IaaS, Information Technology, Internet, Software, Telecommunications","Seattle, Washington, United States","11,309",2010-01-01,M&A,2020-07-02,11650000,Venture - Series Unknown,72850000,"Brett Turner, Jeff Aden, Kris Bliesner"
33 Buckets,https://www.crunchbase.com/organization/33-buckets,"Business Development, Water Purification","Tempe, Arizona, United States","191,672",2012-01-01,,2016-08-23,,Non-equity Assistance,17500,"Mark Huerta, Paul Strong, Swaroon Sridhar"
365hops,https://www.crunchbase.com/organization/365hops-2,"Adventure Travel, Internet, Mobile, Travel","Noida, Uttar Pradesh, India","1,304,247",2014-04-02,,,,,,"Divya Pratap Singh, Kunal Goel, Sachin Goel"
3I/O Ventures,https://www.crunchbase.com/organization/3i-o-ventures,,"San Diego, California, United States","672,299",2014-07-01,,,,,,Brett Turner
500Friends,https://www.crunchbase.com/organization/500friends,"Advertising, E-Commerce, Enterprise Software, Internet, Loyalty Programs, Marketing","San Francisco, California, United States","46,865",2009-01-01,M&A,2013-03-12,5000000,Series B,12900000,"Bob Tekiela, Hong Hu, Justin Yoshimura"
525K Global Solutions Inc.,https://www.crunchbase.com/organization/525k-global-solutions-inc,"E-Commerce, E-Commerce Platforms, Logistics, Retail Technology, Supply Chain Management","Denver, Colorado, United States","212,572",2017-11-01,,2018-02-01,,Undisclosed,,Fareed Qaddoura
911 security,https://www.crunchbase.com/organization/911-security-cameras,"Consulting, Security","Dallas, Texas, United States","50,753",2015-01-01,Seed,2018-09-04,6000000,Seed,6000000,"Fadi Tabbara, Kinan Sweidan, Robert Tabbara"
A Thinking Ape,https://www.crunchbase.com/organization/a-thinking-ape,"Information Technology, Online Games, Software","Vancouver, British Columbia, Canada","140,027",2008-01-01,M&A,2008-03-19,,Seed,,"Eric Diep, Kenshi Arasaki, Wilkins Chung"
A9,https://www.crunchbase.com/organization/a9,"Advertising, Product Search","Palo Alto, California, United States","149,765",2003-01-01,,,,,,Bill Stasior
Aasaan,https://www.crunchbase.com/organization/aasaan,"Apps, Ediscovery, Logistics, Software","Mumbai, Maharashtra, India","279,313",2015-06-01,,,,,,"Nishant Dalmia, Sahil Sorathiya"
abiem design,https://www.crunchbase.com/organization/abiem-design,"Consulting, Product Design, Web Design","Seattle, Washington, United States","1,113,642",2016-01-01,,,,,,Allen Chan
Accept.Com,https://www.crunchbase.com/organization/accept-com,"E-Commerce, E-Commerce Platforms, Photography, Retail","Redwood City, California, United States","236,500",1998-01-01,M&A,,,,,Mark Britto
ActiveState,https://www.crunchbase.com/organization/activestate,"Compliance, Computer, Infrastructure, PaaS, Software","Vancouver, British Columbia, Canada","138,749",1997-01-01,M&A,2021-01-29,,Private Equity,,Dick Hardt
Acureus,https://www.crunchbase.com/organization/acureus,Video Games,"London, England, United Kingdom","236,751",2021-09-11,,,,,,"Liam Sorta, Marco Hoffmann"
ADA WebGuard,https://www.crunchbase.com/organization/ada-webguard,Internet,,"1,501,949",2019-01-01,,,,,,"Allyn Alford, David Wallack"
AdaptCore Health,https://www.crunchbase.com/organization/adaptcore-technologies-inc,"Artificial Intelligence, Data Visualization, Health Care, Information Technology","Los Angeles, California, United States","845,792",2013-10-01,,,,,,Hamid Azzawe
AddsYou,https://www.crunchbase.com/organization/addsyou,"Advertising, Publishing","Encinitas, California, United States","1,900,382",2008-07-18,,,,,,Andre Haug
ADEx Document Intelligence,https://www.crunchbase.com/organization/adexai,"Collaboration, Document Management, Enterprise Software, Natural Language Processing, Productivity Tools, Virtual Workforce","San Francisco, California, United States","160,894",2019-01-01,Seed,2019-09-09,,Pre-Seed,,"Apoorv Khandelwal, Arian Nemati"
ADOR,https://www.crunchbase.com/organization/ador,"E-Commerce, Fashion, Home Decor, Internet, News, Social Media","Seattle, Washington, United States","32,092",2009-02-01,M&A,2013-10-31,9000000,Series D,56499998,Kathy Savitt
AdQuick,https://www.crunchbase.com/organization/adquick,"Advertising, Advertising Platforms, E-Commerce, Marketing, Marketplace","Los Angeles, California, United States","8,474",2016-01-01,Early Stage Venture,2020-04-28,,Series A,9200000,"Connor Burden, Fahim Ferdous, Matthew Morrison O'Connor, Vic Ramon"
AdSlash,https://www.crunchbase.com/organization/adslash,"Advertising, Artificial Intelligence, Big Data, Marketing","Oakland, California, United States","643,068",2017-01-01,,,,,,Hussein Ahmed
Advantage Club,https://www.crunchbase.com/organization/advantage-club,"Employee Benefits, Employment, Human Resources","Gurgaon, Haryana, India","11,792",2014-01-01,Seed,2021-09-30,3300000,Seed,6692813,"Smiti Deorah, Sourabh Deorah, Sourabh Deorah"
Adwants,https://www.crunchbase.com/organization/adwants,"Advertising, Brand Marketing, Content Marketing, Digital Marketing, Marketing, SEO, Social Media Advertising, Social Media Marketing",,"799,981",2010-01-01,,,,,,Prashant Sridharan
Afore Capital,https://www.crunchbase.com/organization/afore-capital,"Angel Investment, Financial Services, Venture Capital","San Francisco, California, United States","72,561",2016-08-01,,,,,,"Anamitra Banerji, Gaurav Jain"
Agave,https://www.crunchbase.com/organization/agave-api,"B2B, Construction, Developer APIs, SaaS, Software","Santa Barbara, California, United States","32,236",2021-10-05,Seed,2022-01-18,500000,Pre-Seed,500000,"John Zucchi, Pooria Azimi, Samantha Zhang, Tom Reno"
AGILIS (Capital) ADVISORS,https://www.crunchbase.com/organization/agilis-capital-advisors,,"Berlin, Berlin, Germany","671,069",2017-08-01,,,,,,Naveen Prasad
Agri,https://www.crunchbase.com/organization/agri-bc8b,AgTech,"Madison, Wisconsin, United States","875,641",2013-01-01,,,,,,"Daren Steuart, Douglas Weibel"
Agri,https://www.crunchbase.com/organization/agri-b71b,,,"1,815,692",2013-01-01,,,,,,Douglas Weibel
