Full Name,Full Name URL,Primary Job Title,Location,Biography,Twitter,LinkedIn,Facebook,Schools Attended
Aadil Bandukwala,https://www.crunchbase.com/person/aadil-bandukwala,Senior Director Of Marketing,"Bangalore, Karnataka, India",Aadil is a B2B Marketing Leader with a proven track record of driving measurable growth YoY. He currently is Director Marketing APAC for HackerRank. Previously Aadil was at LinkedIn consulting CHROs on their people strategy. Aadil has also worked at Dell building their social media talent acquisition and employer brand strategy and has extensively evangelised Belong - a Sequoia Capital backed startup across APAC. Aadil authored a book on ‘Outbound Hiring - How Innovative Companies are Winning the Global War for Talent’ which was published by Bloomsbury Worldwide and is available at leading stores both online and offline.,https://twitter.com/aadil,https://www.linkedin.com/in/aadil/,,
Aaron Bannert,https://www.crunchbase.com/person/aaron-bannert,Sr. Software Dev Engineer,,Aaron Bannert is the Founder and CTO of Smart Ride.,https://twitter.com/aaronbannert,https://www.linkedin.com/in/aaronbannert/,,
Aaron Edell,https://www.crunchbase.com/person/aaron-edell,Global Head of Business and GTM - EC2 Insights,"San Francisco Bay Area, California, United States",Aaron Edell is the Global Head of Business and GTM of EC2 Insights at Amazon Web Services (AWS). Aaron attended Hampshire College.,http://@aaronedell,https://www.linkedin.com/in/aaronedell/,,
Aaron Greenspan,https://www.crunchbase.com/person/aaron-greenspan-21b0,"Founder, Owner","Toronto, Ontario, Canada","AARON 'Lewy' GREENSPAN is a nationally-published commercial, press and lifestyle photographer, marketer, producer and digital strategist with over five years of unique creative experience working in the Canadian entertainment, business, news, and digital media/advertising industries. Since 2018, Lewy Greenspan has produced work for multiple editorials (including The Western Gazette, The Canadian University Press, The Dalhousie Gazette, The Charlatan, The Fulcrum+), worked with numerous renowned sports teams (including the Western University Mustangs (Football), & Dalhousie University Tigers (Sailing)), covered for U-Sports/OUA Sports (The Mitchell Bowl 2021), 30+ brands, notable figures (including two Olympians and various media personalities), and worked on some fantastic groups with even more impactful people.",https://twitter.com/lewyslens,https://www.linkedin.com/in/aaron-greenspan/,,"Dalhousie University, Western University"
Aaron Holm,https://www.crunchbase.com/person/aaron-holm-2,Co-CEO,"Seattle, Washington, United States","Aaron’s background is building businesses that transform industries and in 2016, he launched Blokable. Aaron has founded and led businesses and product teams, notably spearheading Amazon’s first two physical retail businesses, Amazon Go and Amazon Books. At Amazon, Aaron saw first-hand the opportunity to apply advanced technology, supply chain and logistics to enable innovative and integrated business models in the built environment. Prior to his time at Amazon, Aaron, among other projects, co-founded Mylio, a software startup that protected and organized large libraries of personal photographs and memories. Mylio has raised over $55M from technology industry leaders including Bill Gates, Michael Dell, Marc Benioff and others. He also co-founded Industrial Color, a global leader in digital media Software as a Service, where he built a world-class team and digital media infrastructure that serviced customers like NBC, Warner Bros, Victoria’s Secret, Sony Pictures, Gap/Old Navy, CBS and Publicis. Aaron was CTO and head of the software business. Industrial Color sold in successive private equity transactions for over $100M. Aaron has put his deep experience applying advanced technology to transform traditional industries to work at Blokable. He understands the complications inherent to the development of physical space and the opportunity to create the technology and logistics platform necessary to enable Blokable’s Housing Development-as-a-Service model.",https://twitter.com/aahholm?lang=en,https://www.linkedin.com/in/aaronholm/,,University of Toronto
Aaron Rennell,https://www.crunchbase.com/person/aaron-rennell,Project Manager,"Los Angeles, California, United States",,,https://www.linkedin.com/in/aaronrennell23,,
Aaron Wight,https://www.crunchbase.com/person/aaron-wight,Investor,,,,,,
Aarthi Raju,https://www.crunchbase.com/person/aarthi-raju,"Senior Manager, Solutions Architecture","San Francisco, California, United States",,https://twitter.com/aartraju,https://www.linkedin.com/in/aarthi-raju-4232a138/,,
Abby Fuller,https://www.crunchbase.com/person/abby-fuller,Technical Evangelist,"New York, New York, United States","Abby is currently a technical evangelist/software engineer/container fan at AWS. Prior to joining Amazon, Abby worked for a number of startups, including Airtime and Hailo.",https://twitter.com/abbyfuller,,,
Abdelaziz de la Horra,https://www.crunchbase.com/person/abdelaziz-de-la-horra,Other,,,,https://www.linkedin.com/in/abdelaziz-de-la-horra-diaz-859a1537,,
