Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Twitter,Facebook,LinkedIn,Primary Job Title,Primary Organization,Investor Type,Investment Stage,CB Rank (Investor)
Aaron Greenspan,https://www.crunchbase.com/person/aaron-greenspan-21b0,,,"Toronto, Ontario, Canada","AARON 'Lewy' GREENSPAN is a nationally-published commercial, press and lifestyle photographer, marketer, producer and digital strategist with over five years of unique creative experience working in the Canadian entertainment, business, news, and digital media/advertising industries. Since 2018, Lewy Greenspan has produced work for multiple editorials (including The Western Gazette, The Canadian University Press, The Dalhousie Gazette, The Charlatan, The Fulcrum+), worked with numerous renowned sports teams (including the Western University Mustangs (Football), & Dalhousie University Tigers (Sailing)), covered for U-Sports/OUA Sports (The Mitchell Bowl 2021), 30+ brands, notable figures (including two Olympians and various media personalities), and worked on some fantastic groups with even more impactful people.",https://twitter.com/lewyslens,,https://www.linkedin.com/in/aaron-greenspan/,"Founder, Owner",LEWYS LENS MEDIA,,,"76,247"
Adil Ajmal,https://www.crunchbase.com/person/adil-ajmal,2,,"San Francisco Bay Area, California, United States","Adil is a highly customer focused engineering and product leader with a strong track record of building top-tier products and high performing organizations at companies ranging from small startups all the way to large public companies including Intuit and Amazon. Adil is currently the Chief Technology & Product Officer at Fandom. In this role he is focused on increasing fan engagement across Fandom's existing platform, as well as leading the development of new subscription products, gaming tools and data services. Adil has previously held leadership positions at LendingHome, Amazon, TenMarks Education, Posterous, Intuit, United Online, Homestead Technologies and Razorfish. At LendingHome Adil served as the CTO and led all Engineering, Product Management, Design, Data and Technology Operations. In addition he also oversaw the Consumer Mortgage and Retail Investment business units for the first year of the lives of those businesses and got them off the ground into standalone businesses. At Amazon Adil served as the CTO & VP of Engineering of TenMarks Education where he was responsible for all product development and technology operations. Adil initially joined TenMarks as their CTO and the company’s first tech employee in the US. He built the TenMarks engineering, design, product and operations teams in the US from scratch and launched the new Common Core aligned TenMarks Math product which led to Amazon acquiring TenMarks. At Amazon he continued to scale the tech org and launched new products including TenMarks Math Teach and the TenMarks Summer Program. At Posterous Adil served as the VP of Engineering and ran all engineering, product and technical operations. He launched a new product called Posterous Spaces and scaled the team, processes and infrastructure that helped lead to a successful acquisition by Twitter. Prior to that Adil held multiple leadership positions at Intuit. He initially came to Intuit through the acquisition of Homestead Technologies and went on to run engineering for multiple web properties, x-sell, social and mobile initiatives tied to more than $200 million in annual revenue for Intuit’s Small Business Group (SBG). Properties included Intuit.com, Intuitwebsites.com, Homestead.com, In Product Discovery (x-sell), Intuit Community, Love a Local Business, Intuit Blog and the QuickBooks Web Registration Channel. Prior to that Adil served as the Head of Development and Operations for the PhotoSite product at United Online. Adil came to United Online through the acquisition of PhotoSite which he helped build while at Homestead Technologies. Prior to leading the PhotoSite engineering team at Homestead, Adil helped transition Homestead from a free offering to a fee based offering by first building and then managing all billing, provisioning, CRM, finance and marketing related engineering systems. Prior to that Adil was a Principal Consultant at i-Cube and Razorfish where he served as the tech lead for the SAP Oil & Gas and mySAP.com projects. Adil graduated with a BS in Computer Science from The University of Texas at Austin. When not working Adil can be found skiing with his two sons, riding motorcycles or doing Schutzhund training with his German Shepherd dog.",http://twitter.com/adilajmal,http://www.facebook.com/adilajmal,http://www.linkedin.com/in/adilajmal,Chief Technology and Product Officer,Fandom,Individual/Angel,Seed,"56,013"
Alice Glazkov,https://www.crunchbase.com/person/alice-glazkov,,,"Boston, Massachusetts, United States",,,,https://www.linkedin.com/in/aglazkov/,,,,,"201,905"
Allyn Alford,https://www.crunchbase.com/person/allyn-alford,,,"Miami, Florida, United States",,http://twitter.com/CovetedOne,,http://www.linkedin.com/in/allynalford,,,,,"134,891"
Anand Ahuja,https://www.crunchbase.com/person/anand-ahuja,,,"New Delhi, Delhi, India",,,,https://www.linkedin.com/in/anandahuja1/?originalSubdomain=in,,,,,"207,491"
Anand Rajaraman,https://www.crunchbase.com/person/anand-rajaraman,12,3,"San Francisco, California, United States",Anand Rajaraman is the Founding Partner at Rocketship.vc. He attended Stanford University.,http://twitter.com/anand_raj,,https://www.linkedin.com/in/anandrajaraman,Founding Partner,rocketship.vc,"Investment Partner, Individual/Angel",Seed,"18,041"
Andrea Chin,https://www.crunchbase.com/person/andrea-chin-5dc8,,,"Greater Seattle Area, Washington, United States",,,,https://www.linkedin.com/in/andrealchin,Owner,Simkins Court,,,"133,560"
Andrew Jassy,https://www.crunchbase.com/person/andrew-jassy,1,,"Seattle, Washington, United States","Andy Jassy leads the Amazon Web Services business (AWS) and the Technology Infrastructure organization for Amazon.com. AWS is a subsidiary of Amazon.com that provides software developers and businesses with cloud-based infrastructure services that are inexpensive, reliable, scalable, comprehensive and flexible. AWS has grown tremendously since its inception in 2006 and now provides infrastructure services to hundreds of thousands of businesses around the world from start-ups to enterprises to government agencies.  Andy earned his bachelor’s degree from Harvard University and his master’s of business administration from Harvard Business School.",,,https://www.linkedin.com/in/andy-jassy-8b1615,President and CEO,Amazon,Individual/Angel,Seed,"87,097"
Anish Acharya,https://www.crunchbase.com/person/anish-acharya,,,"San Francisco, California, United States","Anish Acharya is currently a partner on the investing team at Google Ventures. Prior to joining Google Ventures, Anish spent several years working on the G+ mobile product team, ending his tenure as the lead PM. Anish was also the founder of SocialDeck, a provider of cloud services for mobile games that was acquired by Google in 2010. After graduating from the University of Waterloo in 2004 Anish spent several years at Amazon.com as a software engineer.",http://twitter.com/illscience,,http://www.linkedin.com/in/anishacharya,General Partner,Andreessen Horowitz,Investment Partner,,"23,039"
Ankit Kumar,https://www.crunchbase.com/person/ankit-kumar-12,,,"Bengaluru, Karnataka, India",,,,https://www.linkedin.com/in/ankit-kumar-a956a1108/,,,,,"152,385"
